username,id,name,created_at,description,tweet_text
billshortenmp,137198586,Bill Shorten,2010-04-26T02:59:56.000Z,Shadow Minister for the NDIS. Shadow Minister for Govt Services. Federal Member for Maribyrnong.,Labor will deliver secure well paid jobs and address casualisation and wage stagnation #auspol #politas #jobsofthefuture @AustralianLabor https://t.co/AJ6HLNXzDc
TonySmithMP,2932863030,Tony Smith MP,2014-12-17T01:16:35.000Z,30th Speaker of @AbouttheHouse. Federal Member for Casey. Lifelong fan of the Holden Monaro and @CarltonFC.,What is Morrison's excuse this time? #auspol #politas @AustralianLabor #notonyourside https://t.co/kdIhIwB9RN
AnneWerriwa,7.18781E+17,Anne Stanley MP,2016-04-09T12:43:26.000Z,"Federal Member for Werriwa. All electoral communications authorised by Anne Stanley, Australia Labor Party, Hinchinbrook.","Pregnancy and Infant Loss awareness month events are happening right around Australia and online throughout October, giving families an important opportunity to publicly remember their much-loved babies #auspol #politas #infantloss https://t.co/tTdSnAmXp8"
zalisteggall,1.08915E+18,🌏 Zali Steggall MP,2019-01-26T13:21:19.000Z,"Independent MP for Warringah, Working Mum, Olympian and Barrister, Authorised by Z Steggall, Level 2, 17-19 Sydney Rd, Manly",Ahhhh 😀💚 https://t.co/bv29V0mqCn
James_Stevens,16780488,James Stevens MP,2008-10-15T12:13:46.000Z,Federal Member for Sturt,Thanks @GeorgeMonbiot for a pithy as always take on the state of the world and the fundamental craziness of the world's economic systems. This is the (un)reality of capitalism. https://t.co/Xg51bQbT4l
MerylSwanson,1586960762,Meryl Swanson MP,2013-07-11T22:31:15.000Z,Federal Labor Member for Paterson. Former Radio Announcer 2NURFM. Mum of Two. Keen Golfer. ❤️our region.,So heartbreaking https://t.co/Q5AT8gcKFW
AngusTaylorMP,84750011,Angus Taylor MP,2009-10-24T02:43:30.000Z,"Minister for Energy & Emissions Reduction. Federal Member for Hume. Authorised by Angus Taylor, Liberal Party of Australia, Goulburn.","The pandemic isn't over, but the Government is  reinstating barriers that make it harder for people to access income support.   Poverty is a political choice, and this Government keeps choosing to lock more people into poverty https://t.co/IY0n1O1aFH"
DanTehanWannon,139052672,Dan Tehan,2010-05-01T11:57:37.000Z,"Minister for Trade, Tourism and Investment Member for Wannon","While we are talking corruption and ready to be glued to #IBAC for the next five weeks, remember this? Will be interesting to watch out for links between branch stacking &amp; property development.  ( Plus we need fed #ICAC too! ) https://t.co/cb6tVJe3QE"
stemplemanmp,850633596,Susan Templeman MP,2012-09-28T07:31:46.000Z,"Federal Labor Member for Macquarie, proudly representing the Hawkesbury and Blue Mountains regions of NSW.",Tune in at 6:35am! https://t.co/wWmTrmM3UI
MThistlethwaite,87395643,Matt Thistlethwaite,2009-11-04T08:44:34.000Z,"Federal Member for Kingsford Smith, surfer, Rabbitohs fan and lover of good books. Authorised by Paul Erickson ALP Canberra.","The @Cricket_PNG Barramundis will make history tomorrow when they take on Oman in their first ever ICC @T20WorldCup. Australia has supported Cricket PNG for more than a decade, and we can't wait to cheer them on! #PNGAusPartnership https://t.co/NOp20v2but"
ThwaitesKate,1.13829E+18,Kate Thwaites,2019-06-11T03:56:33.000Z,"Federal Member for Jagajaga. Authorised by K. Thwaites, ALP, 37 Burgundy St, Heidelberg.","📢 100,000 #COVID19 vaccines arrived in Solomon Islands today from 🇦🇺 to support the ramp-up of their vaccination efforts. 🇦🇺's support doesn't end with vaccine delivery. We are working with 🇸🇧 to source cold-chain equipment, train health care workers &amp; more. #StrongerTogether https://t.co/WEHwRB1DpC"
AlanTudgeMP,185932331,Alan Tudge,2010-09-02T04:56:34.000Z,"Federal Member for Aston, Minister for Education and Youth",🇦🇺 and Samoa are great friends. The renewal of this important partnership highlights Australia's long term commitment to working side by side with our policing partners in Samoa. https://t.co/8WU8EJU4xS
MariaVamvakinou,308935814,Maria Vamvakinou,2011-06-01T07:37:51.000Z,"Federal Member for Calwell, All content authorised by M Vamvakinou, ALP, Town Hall Broadmeadows Precinct Lvl 2, Office 1, 14 Dimboola Road Broadmeadows VIC 3047","This is what happens with this Govt and One Nation in the balance of power. You vote for the Libs, you get Barnaby and Pauline's climate policies. Voters of Ryan, Brisbane, Higgins and Kooyong take note. #auspol https://t.co/W47edITnDh"
BertVanManen,131986906,Bert van Manen MP,2010-04-11T23:49:49.000Z,"Federal Member for Forde. Authorised by Bert van Manen MP, Liberal National Party, Beenleigh QLD","Greens back Improved Grants Reporting bill, which follows our successful motion last yr to require tabling of reports on grants approved against officials' advice. But only a strong fed integrity commission &amp; enforceable Ministerial Standards can truly clean up politics. #auspol https://t.co/UfMPchgq0C"
TimWattsMP,14294400,Tim Watts MP,2008-04-03T16:10:25.000Z,"Labor Member for Gellibrand, Shadow Asst Minister for Communications & Cybersecurity. Authorised: Tim Watts, 97 Geelong Rd, #Footscray.","Feds finally getting $ out the door to #DV survivors, but it's too little, it's a pilot, &amp; administered by a religious org. From tomorrow, women can access welcome $5K payments: but it shld be $10K, permanent, &amp; come with full funding for all frontline DV support services #auspol"
AnikaWells,19204267,Anika Wells MP,2009-01-19T21:54:04.000Z,Trying to be a good ancestor.,"First Nations woman @dorinda_cox sworn in as Greens Senator for WA, to fill the shoes of the wonderful Rachel Siewert, led in by two other Greens women of colour. Greens now nominating @MehreenFaruqi as Senate President. We need more women of colour in parliament! #auspol"
LucyWicksMP,2293950596,Lucy Wicks MP,2014-01-16T06:14:03.000Z,"Tweeting from the beautiful NSW Central Coast. Authorised by Lucy Wicks MP, Liberal Party, West Gosford NSW.","... 📆Release Ministerial diaries so the public can see who's meeting with who ➰Stop the revolving door between politics and industry lobbyists 💪Establish a strong, independent corruption watchdog"
TimWilsonMP,20742888,Tim Wilson MP,2009-02-13T02:52:39.000Z,"Assist Minister 4 🏗, ⚡️& Emissions 📉 | Forward-looking, modern Liberal MP | Author, New Social Contract | Former Aus' Human Rights Commissioner | Notorious","❌Ban dirty donations from gambling, fossil fuels, pharmaceuticals, banking, defence, alcohol,tobacco 💰Cap all political donations at $1,000  ⌚️Require real-time disclosure of donations 🧐Improve transparency of the Lobbyists Register  ..."
JasonWood_MP,74049076,Jason Wood,2009-09-14T02:52:30.000Z,"Assistant Minister for Customs, Community Safety and Multicultural Affairs, Federal Member for La Trobe. Authorised by Jason Wood.",The Greens have a comprehensive plan to clean up politics and stop politicians writing policies for the highest bidder.  We will:
KenWyattMP,196039332,Ken Wyatt,2010-09-28T05:00:34.000Z,Federal Member for Hasluck & Minister for Indigenous Australians. Sign up for latest news & information - https://t.co/6Aw1N9ufvg,"The Greens Banning Dirty Donations Bill to ban donations from gambling, mining &amp; other sectors is already before the Senate, ready to be voted on - but only if Lib/Lab turn their back on the tens of millions in donations from the gambling industry filling their re-election chests"
SenatorAbetz,128440862,Eric Abetz,2010-04-01T03:46:59.000Z,"Liberal Senator for Tasmania and Chair of the Senate Foreign Affairs, Defence and Trade Committee 🇦🇺","Weak political donations laws mean that not only is it completely legal for the govt to accept donations from industries that benefit from weak govt regulations, but that we don't even know where more than a third of those donations come from. This is a stain on our democracy."
Birmo,22196776,Simon Birmingham,2009-02-27T22:01:20.000Z,Leader of the Government in the 🇦🇺 Senate. Senator for South Australia. Minister for Finance. Proud Dad. Frustrated Crows fan.,"Donations open doors to Minister's offices, giving privileged access to industries profiting at the expense of the Australian public."
ajamesbragg,92430575,Senator Andrew Bragg,2009-11-25T02:43:47.000Z,"Liberal Senator for New South Wales. Authorised by Andrew Bragg, Liberal Party, Sydney.","The Greens have been pushing for this for a decade in federal parliament but the big parties won't bite the hand that feeds them. Australians are the world's biggest losers to gambling, while the Liberal, Labor and National parties have hit the donations jackpot."
SenRaffCiccone,171888155,Senator Raff Ciccone,2010-07-28T12:19:02.000Z,Federal Labor Senator for Victoria🇦🇺 Deputy Opposition Senate Whip🏛 @CollingwoodFC tragic⚫️⚪️ @danielricciardo @F1 @storm fan🏎⚡️,It's time to ban political donations from the gambling industry. They've bought policy outcomes that reap them profits and increase misery for so many for so long.  https://t.co/jrIqL2bkBY
MehreenFaruqi,236713668,Mehreen Faruqi,2011-01-11T06:02:39.000Z,"Greens Senator for NSW. Feminist, Engineer, Migrant ✊🏽",Our bill passed the Senate more than two years ago - the PM just needs to bring it on for debate in the House and the Australian people could have a federal anti-corruption body in place by Christmas. There's no more time to waste. #auspol
PaulineHansonOz,1471232930,Pauline Hanson 🇦🇺,2013-05-31T03:29:36.000Z,"Official Twitter | My tweets are signed -PH | Facebook: https://t.co/r4ECY6mETG | Authorised by P Hanson, Pauline Hanson's One Nation, Brisbane.","Our bill would establish a strong, independent, effective body that allows for public hearings, retrospectivity and the ability to investigate anonymous tip-offs, balanced with appropriate safeguards and privacy provisions. #auspol"
